title,description,category,priority,resolution
Jira dashboard widgets blank,"The widgets on my Jira dashboard aren't loading, just showing grey boxes. I am using the latest version of Firefox. Everyone else on the team seems fine.",Application,Low,Identified a browser extension (AdBlocker) that was interfering with the dashboard script loading; added Jira domain to the whitelist.
Cannot print to office printer,EMERGENCY! EVERYTHING IS BROKEN! THE ENTIRE OFFICE IS AT A STANDSTILL BECAUSE THE PRINTER ISN'T SHOWING UP! DROP EVERYTHING AND FIX THIS RIGHT NOW OR WE ARE ALL GOING TO LOSE OUR JOBS!!!,Network,Low,Reconnected printer to the local network via DHCP reservation.
Critical vulnerability patch needed,The security team flagged my machine for running an outdated version of Java. I cannot update it manually as I don't have local admin rights. Please update it.,Application,Critical,Pushed the Java 8 update 401 via SCCM to the user's workstation.
New hire onboarding: Missing JIRA permissions,"Hi team, I am a new developer starting today. I have access to the main dashboard but I cannot open any tickets in the Engineering project. It says 'Insufficient permissions' whenever I try to move a task to 'In Progress'.",Access Management,Medium,Added user to the 'Dev-Project-Contributors' AD group and refreshed JIRA project permissions.
USB drive blocked by Endpoint Protection,"Hey, I'm trying to plug in my Kingston DataTraveler to transfer some project files to my workstation (WS-9922), but Carbon Black keeps killing the process. I get error code 0x80070005: Access Denied. Can you whitelist this drive for me?",Security,Low,USB mass storage device restricted by Group Policy for security compliance. Denied request to whitelist; provided instructions for using encrypted OneDrive share instead.
SSD wear level alert,"Just got an email from the server monitor saying the SSDs in our cache tier are at 92% wear level. Should I be worried? Everything seems fine for now, but I want to know when we need to replace them.",Storage,Low,Analyzed the S.M.A.R.T. data and confirmed the drives are still within operational spec; scheduled a proactive replacement for the next quarterly maintenance cycle.
SSL Certificate expiration,The browser is showing 'Your connection is not private' when accessing our internal Wiki. It seems like the SSL certificate for wiki.internal.corp has expired as of this morning.,Security,High,Renewed the internal CA certificate and pushed it to the web server IIS bindings.
VPN Gateway latency spikes,Users are reporting severe lag when connecting via the Cisco ASA 5500-X gateway. Performance monitors indicate CPU usage is hitting 98% during peak hours. Packet loss is reaching 15%.,Infrastructure,High,Identified a memory leak in firmware version 9.8.1; updated to 9.8.4 to resolve the process crash.
Unauthorized device detected on secure port,The IDS flagged an unauthorized MAC address connected to port 48 in the server room. The device is currently showing as 'unknown' and is attempting to probe internal subnets.,Network,Critical,Identified device as an unmanaged switch brought in by a contractor; port was shut down and contractor notified.
Intermittent timeouts when accessing the CRM portal,Users are reporting that the CRM application frequently hangs or times out after 10-15 seconds of inactivity. It is unclear if the web server is struggling or if there is packet loss.,Network,High,Increased keep-alive timeout on the load balancer to prevent premature session termination.
System slow and unresponsive after login,User reports high latency immediately upon logging in. Could be an overloaded SSO authentication server or a deep-packet inspection process scanning traffic upon entry.,Security,Medium,Analyze login logs to identify bottlenecks in the identity provider or security scanning suite.
Cannot access shared drive,I can't see the \\FILE-SRV01\Marketing folder anymore. It keeps saying 'Network path not found' when I try to map it. Windows 10 is updated. It worked fine yesterday.,Infrastructure,Medium,Mapped drive was disconnected due to a stale SMB session; flushed DNS cache and re-authenticated the user.
VPN Authentication Failure - Error 691,"I am unable to connect to the corporate VPN using my MacBook Pro running macOS Sonoma. Every time I initiate the connection, I receive 'Error 691: The remote connection was denied because the username and password combination you provided is not recognized'. I have confirmed my AD credentials are correct as they work on the Outlook web portal.",Access Management,High,Reset the user's AD password sync in the Identity Provider portal and cleared the cached VPN credentials in the Keychain Access utility.
Can't connect to VPN,"I am losing my mind here. My Cisco AnyConnect VPN was working perfectly fine yesterday morning, and now all of a sudden, it refuses to connect on macOS Monterey, constantly throwing an ""invalid server certificate"" error. I have work to do and this is completely blocking me—fix this immediately.",Security,Medium,Updated the root CA certificate on the user's machine as the previous one had expired.
Database connection timeout in production,App is throwing connection timeouts since the patch yesterday. Error code 0x80004005. Please check.,Database,Critical,Identified a misconfiguration in the connection string following the patch deployment; updated the application settings to point to the correct failover cluster node.
Visual Studio Code terminal won't launch,Integrated terminal in VS Code just shows a blank screen and crashes after a few seconds. Running on Windows 10. I suspect it's related to the recent PowerShell update. Can you take a look?,Application,Low,Updated the integrated terminal profile settings in VS Code to point to the correct path for PowerShell 7.
Firewall Rule propagation failure,"I tried to push a new security policy to our edge firewalls, but the management console is reporting a 'Sync Failed' status. It seems like the HA pair is out of sync. Current version is PAN-OS 10.1.",Infrastructure,Medium,Cleared the candidate configuration manually and force-synced the device state from the primary firewall.
Intermittent packet loss on VLAN 20,"We are experiencing significant packet loss across the engineering department on VLAN 20. Pings to the default gateway show a 15% drop rate, and we are seeing CRC errors on the uplink port of the access switch.",Network,Critical,Replaced a faulty SFP module and fiber patch cable on the distribution switch uplink.
SQL Server connection timeout on App-Prod-01,We are experiencing intermittent connection timeouts when the web frontend tries to query the primary SQL instance. Error code 0x80131904 appears in the logs during high traffic spikes. Server OS is Windows Server 2022. Please investigate if there is a connection pool exhaustion issue.,Database,High,Increased max connection pool size in web.config and optimized long-running execution plans.
Insufficient space on production database volume,Alert from Nagios: /dev/sdb1 is at 98% capacity. This is our SQL production volume and we are seeing timeout errors in the application logs. Please expand the LVM partition immediately.,Storage,Critical,"Expanded the underlying VMware VMDK and grew the LVM physical volume, volume group, and logical volume online without downtime."
EMERGENCY: THE OFFICE IS ON FIRE,"Wait, no, it's just a coffee spill on the carpet. Can someone please put a ticket in to have the cleaning crew vacuum this spot? It's really bothering me.",Infrastructure,Low,Notified facilities team to clean the spill.
Cannot access shared drive,"I am once again unable to access the \\FileServer01\Marketing drive and keep getting hit with the ""Network path not found"" error (0x80070035). I’m running Windows 10 Pro and this is completely blocking my workflow. Please fix this.",Network,High,Flushed DNS cache and re-mapped the network drive using the server's static IP address instead of the hostname.
Cannot access VCenter,"I keep getting a 503 Service Unavailable error when trying to access the vSphere client. I’ve checked the ESXi hosts and they seem to be running fine, but I can't manage my VMs. Help.",Infrastructure,High,Restarted the vCenter Server Appliance (VCSA) services via SSH; identity management service was hung.
Small observation about account security,It seems that the administrator password for the core production database has been posted on the public company Slack channel for the last 48 hours. Just wanted to let you know.,Security,Critical,"Revoked existing credentials, rotated all database keys, and sanitized Slack message history."
Password reset link not working,User reports the reset link leads to a 403 Forbidden page. Could be an expired link or a triggered security block on the user's IP due to repeated invalid requests.,Access Management,Medium,Clear browser cache and verify if the user's IP is on the security blocklist.
Jira keeps giving me 503 errors,"Hey, Jira is down again. I keep getting a 503 Service Unavailable error when I try to update my sprint tickets. It's really slowing down our daily standup.",Application,High,Performed a rolling restart of the Jira application nodes; service restored.
Corruption in archive database,"I'm trying to open the 2022 Archive database and it's throwing a 'Page Checksum Failure' error. It seems like the file is corrupted. Help, this is urgent!",Storage,Critical,Restored the database from the last known good backup to a temporary instance and exported the requested data.
Casual inquiry regarding VPN access,"Hi there, I noticed that our global VPN gateway has been completely bypassed by an unauthorized external script. No rush at all, but could you take a look at your convenience?",Security,Critical,Initiated emergency network lockdown and blocked the malicious IP range.
Unable to ping default gateway,"I am writing to formally report a persistent network connectivity failure affecting my workstation. Upon technical inspection, it has been confirmed that I am unable to reach the default gateway. Diagnostic output from the ipconfig command reveals that the workstation has been assigned an APIPA address in the 169.254.x.x range, which indicates a critical failure in the DHCP assignment process. Despite the physical ethernet connection to the Cisco Catalyst 2960 switch being verified, the device remains unable to obtain a valid network configuration. Please address this infrastructure issue as a priority.",Network,High,Identified a misconfigured VLAN on the switch port; reassigned port to the correct Data VLAN and refreshed the DHCP lease.
"Guest Wi-Fi showing 'Connected, no internet'","Visitors are complaining that they can connect to the Guest network but never get the splash page. They are stuck on 'Connected, no internet'. Please look into this as soon as possible, it makes us look unprofessional.",Network,High,The Captive Portal service had stalled on the firewall appliance; restarted the service and cleared the active session table.
Printer queue stalled,The big copier on floor 2 keeps printing the same document over and over. I tried clearing the print queue on the print server but it keeps popping back up. This is very annoying.,Infrastructure,Low,Cleared the spooler directory on the print server and updated the driver to the latest V4 PCL6 version.
iSCSI session flapping,We are seeing intermittent connectivity losses to the iSCSI target. The switch logs show 'Link Flap' events on ports connected to the storage controller. This is causing Windows Event ID 129 errors on the host.,Storage,Critical,Replaced faulty SFP+ module on the core switch and verified network stability for the iSCSI traffic.
Complete regional data center outage,"Hi team, I hope you are having a pleasant afternoon. It appears that all server connectivity for the entire East Coast region has dropped. Please let me know if you might have a spare moment to investigate this at your earliest convenience. Thank you!",Network,Critical,Replaced faulty fiber uplink module in the core router.
SAML SSO error on Chrome,Getting an 'Error 403: app_not_configured_for_user' when trying to launch Salesforce via Okta. I'm using Chrome v118 on Windows 11. Everyone else on my team can get in fine.,Access Management,High,Assigned the user to the Salesforce application integration in Okta Admin Console.
MFA prompt not appearing,"I'm trying to log into O365 on my new MacBook Pro M3, but the Microsoft Authenticator prompt never pushes to my phone. I've reinstalled the app and checked my cellular connection.",Access Management,High,Removed the user's secondary device from the Entra ID portal and re-registered the MFA token.
VPN access keeps dropping,"Hey, my VPN keeps kicking me off every time I try to map a network drive. I'm running Windows 11 and using the latest Cisco AnyConnect client. It just says 'Connection lost - reconnecting' and then eventually fails entirely.",Infrastructure,Medium,Increased the idle timeout threshold on the headend ASA firewall and updated the user's client profile.
Salesforce page unresponsive,Salesforce is freezing whenever I try to generate a quarterly report. The browser console shows a 'Script timeout' error at line 442. This is happening on Chrome 122.0 on macOS Sonoma.,Application,High,Identified a malformed custom report filter; updated the filter logic and cleared browser cache.
AutoCAD license error,Autocad is giving me a license error code 1.1.0 every time I launch it. It says it cannot connect to the license server on the network. I've checked my connection and I am definitely connected to the office LAN.,Application,High,Refreshed the license lease via the Autodesk Desktop Licensing Service and cleared the local login cache.
Outlook search returning zero results,"My search bar in Outlook 365 isn't finding any emails sent after Monday. I've tried rebuilding the index in Windows Search Options, but it's still stuck at 'Indexing pending'. My machine is a Dell Latitude 5440.",Application,Low,Manually reset the Indexing Service via Command Prompt and performed an online repair of the Microsoft 365 Office suite.
File access denied,"I'm trying to open our team's shared folder, but I keep getting a permission error. The OS says 'Access Denied'. This is really holding me up on the quarterly report.",Storage,Medium,Updated the user's AD security group membership to include 'Finance_RW'; user logged out and back in to refresh the Kerberos token.
Core Switch Uplink Failure,The primary uplink on CORE-SW-01 (Cisco Catalyst 9300) has dropped to a state of err-disabled. We are seeing constant flapping on interface Te1/1/1 and the logs indicate high CRC errors. This has isolated the entire second-floor subnet from the server farm.,Infrastructure,Critical,"Reset the physical transceiver module and re-seated the fiber patch cable, clearing the interface error counters."
New printer not getting IP from DHCP,"We are trying to commission a new HP LaserJet Pro in the marketing wing. The device is connected to Port 14 on switch SW-MK-02, but it fails to acquire an IP address from the DHCP server. Can you check if the scope is exhausted?",Network,Low,Mapped the static MAC address to the correct scope and increased DHCP lease pool size.
SQL Server connection timeout on App-Prod-01,We are experiencing intermittent connection timeouts when the application attempts to query the primary SQL Server instance. The application logs show 'System.Data.SqlClient.SqlException: Execution Timeout Expired' occurring frequently during peak hours. Server is running Windows Server 2019.,Database,High,Increased the command timeout threshold in the connection string and optimized the indexing on the Orders table to reduce query latency.
AutoCAD license error,"Getting error 1.10.1 when launching AutoCAD 2024. It says the license is in use on another machine, but I have already signed out of my other device. Please help fix this.",Application,Medium,Reset the Autodesk local login cache files to force a fresh authentication with the license server.
Deadlock detected on Production DB,We are seeing frequent deadlock errors (Error 1205) in our production MySQL 8.0 instance on Ubuntu 22.04. It appears two specific update scripts are conflicting on the 'Inventory' table. We need this resolved immediately to prevent inventory synchronization errors.,Database,Critical,Modified transaction isolation levels for the conflicting scripts and implemented a retry logic wrapper in the application code.
VPN connection drops every 15 minutes,"I'm working remotely on Windows 11 and my GlobalProtect VPN keeps disconnecting. It usually happens right when I'm in a Teams call, which is incredibly frustrating. Error code 0x1404 is appearing in the logs. Can someone look at this ASAP?",Network,High,Updated the GlobalProtect client to version 6.0.4 and cleared the local cache to resolve certificate timeout issues.
Absolute disaster - server room AC off,"Heads up, the CRAC unit is down and the server room is hitting 95 degrees! We’re at risk of hardware failure if this isn’t sorted ASAP—can someone head over there right away?",Infrastructure,Critical,Escalated to HVAC vendor; failed control board replaced. Temperature returned to standard 68 degrees within 45 minutes.
Core Switch-02 port flapping,"Port Gi0/1 on Core-Switch-02 is flapping intermittently, causing dropped packets for the Accounting VLAN. Logs show 'LINEPROTO-5-UPDOWN' every 30 seconds. We need a physical inspection of the SFP module or the patch cable.",Infrastructure,High,Replaced faulty SFP+ transceiver and verified link stability with no further flap errors.
Printer connectivity issues,"Hey, the printer in the Marketing area is acting up and showing an ""IP Address Conflict"" error on the screen. It’s totally offline, so nobody can get their reports printed. Could someone take a look when they have a sec?",Infrastructure,Low,Updated the printer to a static IP address outside of the DHCP range and flushed the ARP cache on the local gateway.
NAS volume unmounted unexpectedly,Our QNAP TS-h886 storage server suddenly dropped the iSCSI target connection around 02:00 AM. Windows Server 2022 clients are reporting 'Error 0x80070035: The network path was not found' when trying to access the mapped drive. Please investigate the logs.,Storage,High,Re-established link aggregation settings on the switch and forced a remount of the iSCSI target.
Salesforce login loop,"Hey, I’m running into a loop with Salesforce where it keeps kicking me back to the login page right after I enter my MFA code. I already tried clearing my Chrome cache and cookies, but that didn't help. I'm on macOS Sonoma 14.2 if that helps—any ideas?",Application,Medium,Detected an expired session token in the user's browser profile; cleared site data specifically for the Salesforce domain.
Application failure during heavy I/O tasks,Custom accounting software crashes whenever large reports are generated. The error message is generic 'IO Exception'.,Storage,High,Resolved storage array controller latency by migrating high-I/O volumes to SSD-tier storage tiers.
RAID 5 array degraded,"One of the drives in our PowerEdge R740 storage array has failed. We have a blinking amber light on slot 4. Everything seems to be running fine for now, but we are worried about data loss if another disk goes out.",Storage,High,Replaced the faulty SATA drive in slot 4; triggered a manual array rebuild which completed successfully.
Unable to run PowerShell scripts as admin,"My machine (WS-DESK-99) is completely blocked because of these ridiculous execution policy restrictions. I’ve already tried running 'Set-ExecutionPolicy RemoteSigned' myself, but surprise, surprise—it’s throwing an ""access denied"" error. I have actual work to do and I’m currently dead in the water; I need this fixed immediately so I can finally finish my testing.",Access Management,Low,Granted temporary local administrator rights to user to update the execution policy for their development environment.
Unable to access AWS Management Console,"I am receiving an 'AccessDenied' error when attempting to reach the production S3 buckets via the AWS CLI. My IAM user has the appropriate policy attached, but it seems to be failing on MFA validation. This is a blocker for our deployment.",Access Management,High,Reset the IAM user's MFA device session to force re-synchronization with the hardware token.
Query timeout in Reporting DB,My queries are timing out again. I'm trying to pull the Q3 sales report but the server just hangs for 30 seconds and then gives me a 'Query Execution Timeout' error. Using DBeaver on MacOS to connect.,Database,Low,Added missing indexes to the 'Transactions' table and updated database statistics to improve query plan optimization.
Production DB storage reaching capacity,Alert: The storage volume on the primary database server is at 92%. We need to expand the EBS volume on this AWS instance before we hit a hard stop and cause a system outage.,Database,High,Expanded the EBS volume from 500GB to 1TB and performed online file system expansion.
iSCSI connection dropped,One of our ESXi hosts dropped the connection to the iSCSI target. The host went into PSOD. Please check the network switch configuration for potential Jumbo Frame mismatches.,Storage,High,Detected a misconfigured MTU setting on the new switch port; corrected to 9000 bytes to match the storage network fabric.
SSD wear level alert,Our monitoring system sent an alert for server APP-SRV-09. The SSD wear indicator is at 98%. I think we need to look into migrating the data soon.,Storage,Medium,Scheduled a maintenance window to migrate the data to a new NVMe drive and decommissioned the aging SSD.
Unable to export reports from PowerBI,"I am writing to formally report an issue regarding the dashboard export functionality. Despite utilizing the desktop application and confirming that my user permissions remain unchanged, the export button is currently disabled and unresponsive. I request an immediate investigation into this technical impediment to restore the expected functionality.",Application,Medium,Updated PowerBI Desktop to the latest monthly release; the issue was caused by an expired local authentication token.
UPS Battery Warning,The APC Smart-UPS in the server room is chirping and the front panel displays 'Replace Battery'. I'm worried about an unexpected shutdown during a power fluctuation. Can we get this serviced before it fails entirely?,Infrastructure,High,Scheduled maintenance window to replace the battery cartridge while on bypass mode.
External partner account access issues,Contractor cannot access the portal. Could be their account has reached the end of its life cycle (Access) or they have failed MFA validation (Security).,Access Management,Medium,Validate account expiration date and re-sync MFA hardware token.
Need more space on the Z-drive,"Hi, I keep getting a 'Disk Full' error whenever I try to save reports to the Z-drive. It's really slowing me down today. Can you please increase the capacity?",Storage,Low,Identified a massive log dump in the user's shared folder; cleared temporary files and increased the volume quota by 50GB.
High I/O Wait on SQL Server,Our SQL Server 2019 instance on Windows Server 2022 is experiencing massive I/O latency. Disk queues are consistently above 50. The application team is complaining about widespread timeouts across all modules.,Database,High,Moved the tempdb files to a dedicated high-performance SSD drive and updated outdated statistics on the largest tables.
Accidental file deletion,"I accidentally deleted the entire project folder from the 'Shared-Projects' network drive. I need these files recovered immediately, please. It was the folder named 'Marketing_Campaign_2024'.",Storage,High,Restored the folder structure from the previous night's Volume Shadow Copy (VSS) backup to a recovery partition for user verification.
NAS volume unmounted after power flicker,Our QNAP TS-873A unit lost connection after a brief power outage in the server room. The web interface shows 'Volume 1: Not Mounted' and the status LED is blinking red. I've tried rebooting twice but the volume remains inaccessible.,Storage,High,Performed a manual file system check (fsck) via SSH and re-mounted the volume; ensured the UPS battery backup was functioning correctly.
Exporting data for compliance request,"Hi, I need a CSV export of all login logs for the user 'john.doe' from the last 6 months for a security audit. Please let me know when this is available and where I can download it.",Database,Low,"Ran the query to extract the audit logs, exported the data to a secure S3 bucket, and provided the requester with a time-limited download link."
PostgreSQL replication lag,Streaming replication lag between db-master and db-replica-01 has exceeded 5GB of WAL files. The pg_stat_replication view shows state 'streaming' but high byte latency. We need to stabilize this before the midnight batch job starts.,Database,High,Identified a network throughput bottleneck; routed replication traffic through the dedicated secondary NIC.
ERP System crashing on boot,The SAP GUI crashes immediately upon launch with error code 0x80040154. This is a critical issue as we cannot process invoices for the month-end closing. Please help ASAP.,Application,Critical,Re-registered the missing DLL files (saplogon.dll) and performed a repair installation of the SAP GUI client.
Salesforce login loop on Chrome,"I'm stuck in an infinite redirect loop when trying to access Salesforce on Chrome version 122.0.6261. I have cleared my cache and cookies multiple times, but the issue persists on both my workstation and laptop. This is preventing me from updating client records for the end-of-month report.",Application,High,Cleared site-specific storage settings and disabled a conflicting browser extension causing the redirect loop.
Forgot my passcode for encrypted laptop,I'm an idiot. I just set up my encrypted drive password this morning and I've already forgotten it. I'm locked out of my files and I really need these documents for the board meeting today. Can you reset it?,Security,High,"Verified user identity via manager. Utilized escrowed recovery password from the security vault to unlock the drive and helped user set a new, compliant password."
Unauthorized software detected,"We received an automated alert that an unauthorized application, 'Advanced IP Scanner', was installed on WS-042. This violates our company policy regarding network scanning tools. Please remove it immediately.",Security,High,Remotely uninstalled the blacklisted application via SCCM. Issued a formal warning to the user regarding software installation policy.
USB drive blocked,"My manager asked me to transfer files to an external thumb drive, but the system keeps saying 'Access Denied'. This is very frustrating as we have a deadline.",Security,Low,Applied group policy exception for the user's specific USB device ID to allow encrypted read/write access per security department approval.
Microsoft Teams background blur failing,"Hey, whenever I turn on background blur, my camera just goes black. I'm on a Dell Latitude 5420. Can someone fix this?",Application,Low,Updated the integrated camera drivers and ensured the latest Teams desktop client was installed.
Schema sync failure,"Hey, staging is currently out of sync with prod. Looks like migration script v2.4 hit a syntax error near 'MODIFY COLUMN'—we're running on CentOS 7 if that helps.",Database,Low,Fixed invalid syntax in migration file and ran the apply script manually.
Storage array reporting overheating,We received an alert from the data center monitoring system that the main SAN array is reporting a temperature warning for controller B. It is currently at 65 degrees Celsius. Please check if a fan has failed.,Storage,High,Replaced a faulty cooling fan module and verified that the sensor readings returned to the normal operational range.
VLAN tagging issue,New machines in the dev lab are not picking up the correct VLAN 20. They are defaulting to the native VLAN 1. Please check the switch config.,Network,High,Reconfigured the trunk port to correctly tag packets for VLAN 20 and performed a port bounce.
Permission issue with SQL DB,"I am trying to connect to the production SQL Server 2022 instance, but I am receiving an error stating that I do not have sufficient permissions to view the sys.databases view. I am using SSMS 19.3.",Access Management,Medium,Granted 'VIEW ANY DATABASE' permission to the user's AD domain group on the SQL instance.
Why is the internet so bad?,"Everything is running slow. Everything. My email, the browser, everything. Is the server down again?",Network,Medium,Identified high bandwidth usage from a user running a P2P application and blocked the port.
Cloud sync storage error,Our local-to-S3 storage gateway is stuck in a sync loop. It keeps throwing '403 Forbidden' errors when uploading chunk files. We haven't changed our AWS IAM keys recently.,Storage,Medium,Rotated the IAM access keys and updated the gateway configuration to restore secure connectivity to the S3 bucket.
Adobe Acrobat Pro crashing on launch,"Every time I open a PDF, Acrobat Pro 2023 crashes immediately. I get an error code 0xc0000005. Running Windows 11 Enterprise. Help.",Application,Medium,Performed a clean re-installation of Adobe Acrobat using the Creative Cloud Cleaner Tool to resolve corrupted registry keys.
Ethernet port dead,"My laptop doesn't detect a network cable when plugged into the wall jack in room 204. I've tried a different cable and a different laptop, still nothing. Help.",Network,Low,Traced the wall jack to a disconnected patch cable in the server room; re-patched and tested for signal.
Minor formatting adjustment requested,"It would be lovely if you could look into why the entire production database has been wiped. No rush at all, whenever you have a free moment today would be just fine.",Database,Critical,Restored database from hourly snapshot and performed integrity check.
Total site outage,The entire building has lost connectivity. We have no internet or internal access. Users are panicking.,Network,Critical,Found an upstream service provider outage; engaged ISP support and transitioned traffic to the redundant backup line.
Login failed,"I am completely blocked from the database and keep getting an account locked error. I have a critical deadline in an hour, so I need this fixed immediately—I cannot afford to sit around waiting while I fall behind on my work.",Database,Medium,Unlocked the user account and verified the password expiration policy settings.
Cloud storage bucket permissions,"Hey team, we’re running into 403 Forbidden errors when trying to push logs to the prod-logs-storage S3 bucket. We’ve already double-checked and the IAM role definitely has s3:PutObject permissions, so not sure why it's still acting up. Any ideas?",Storage,High,Corrected the bucket policy which was inadvertently blocking access from the VPC endpoint.
Locked out of AD account,"I'm locked out again. I've tried my password three times and now it says 'Account is locked due to multiple failed attempts'. This is the third time this week, please help.",Access Management,Medium,Unlocked the AD account and cleared cached credentials on the user's workstation that were causing repeated lockout triggers.
Unable to connect to the office network via Ethernet,"I just plugged my laptop into the wall jack in conference room B, but the network icon just shows a red 'X'. I've tried two different Cat6 cables. Is the port even live?",Network,Medium,"Enabled the switch port on the edge switch, which had been set to 'shutdown' following an unauthorized port discovery attempt."
Intermittent packet loss on VOIP phone,"My desk phone, model Polycom VVX 410, has been crackling and dropping calls all morning. My coworker in the next cubicle is having the same issue. It’s making it impossible to take client calls.",Network,Critical,Identified a duplex mismatch on the phone's patch port; switched to a new CAT6 cable and verified 1Gbps link speed.
BitLocker recovery screen,My laptop (Dell Latitude 5420) is stuck on the BitLocker recovery blue screen after a Windows update. It’s asking for a 48-digit recovery key that I don't have. I have a deadline in an hour.,Security,High,Retrieved recovery key from Azure AD device portal and successfully unlocked the drive.
Outlook search functionality broken,Searching for emails in Outlook 365 yields zero results even for messages I can see in my inbox. Running Windows 10. The search bar just spins and returns 'No results found'.,Application,Medium,Rebuilt the Windows Search Index for Outlook and repaired the Office 365 installation.
Rack fan failure,"I am formally reporting a critical hardware malfunction regarding Server-Rack-1. The cooling fan located at the base of the unit is emitting an abnormal high-pitched whistling noise and has ceased operation. Consequently, the ambient temperature within the rack is escalating rapidly, posing an immediate risk to the hosted equipment. I request an urgent inspection and resolution of this cooling failure to prevent potential system damage or downtime.",Infrastructure,Medium,Replaced the failed 120mm exhaust fan assembly with a spare unit from inventory.
Device not compliant with security policy,"My MacBook Pro (macOS Sonoma) is being blocked from accessing company resources. The Company Portal app says I'm non-compliant, but I haven't changed any settings. I really need access to Slack.",Security,Medium,Sync performed on Intune; detected that OS security patch level was outdated. Triggered an update and re-enrolled the device.
PostgreSQL service failing to start,Postgres won't start after the server rebooted last night. The logs show 'FATAL: could not create shared memory segment'. It seems like a kernel configuration issue with shmmax.,Database,Critical,Adjusted the kernel.shmmax and kernel.shmall settings in /etc/sysctl.conf to provide sufficient shared memory for the increased database buffer cache size.
MFA device lost,I lost my phone that had the Microsoft Authenticator app on it. Now I can't log into my email. How do I get back in?,Access Management,High,"Verified user identity via manager, reset the MFA requirement for the account, and assisted the user in setting up a new device."
Salesforce page load timeout,"When attempting to load the 'Leads' dashboard on Salesforce, the page hangs indefinitely and eventually displays a 504 Gateway Timeout error. This is occurring on Chrome version 124.0.6367.60 across multiple workstations in the marketing department. I have cleared the browser cache, but the issue persists.",Application,High,Increased session timeout threshold on the proxy server and whitelisted specific Salesforce IP ranges in the corporate firewall.
Low disk space on file server,The D: drive on FS-01 is reporting less than 5GB free space. Windows Server 2019 is throwing constant 'Disk space critically low' notifications. Users are complaining that they cannot save new documents to the shared folder.,Storage,Medium,Cleared temporary log files and performed a temporary storage expansion of the underlying LUN.
Unauthorized device detected on secure port,"This correspondence serves as a formal notification regarding a security breach detected by the Intrusion Detection System. An unauthorized device, currently identified as ""unknown,"" has been detected connected to port 48 within the server room. The device is actively engaging in unauthorized reconnaissance by attempting to probe internal subnets, necessitating an immediate investigation and containment.",Network,Critical,Identified device as an unmanaged switch brought in by a contractor; port was shut down and contractor notified.
Need a staging data refresh,"Hey, could you please refresh the staging database with a sanitized dump from production? The current data is outdated and it's making testing very difficult.",Database,Low,"Executed a partial data dump from production, ran a masking script to obfuscate PII, and restored to the staging environment."
Java application runtime error,The accounting software is throwing a 'java.lang.OutOfMemoryError: Java heap space' error during month-end processing. I have 16GB of RAM assigned to the VM. Please advise.,Application,High,Adjusted the Xmx heap size parameters in the application configuration file to allow for larger data processing loads.
Tableau workbook error,I'm receiving an 'Internal Error: Data source not found' when trying to refresh the extract for the quarterly financial workbook. Version is 2023.1. I checked the SQL connection and it seems fine.,Application,High,Updated the expired service account credentials in the Tableau Server data source settings.
Unauthorized login alert from unknown location,I got an automated email notification saying someone logged into my Microsoft 365 account from an IP address in a different country. I am currently in the office in Chicago. I am worried my account has been compromised.,Security,Critical,Invalidated all active session tokens and forced a password reset for the user. Verified login history shows no successful data exfiltration.
SharePoint folder access denied,"I cannot access the 'Q3 Financials' folder on the team SharePoint site. I have the link, but it tells me 'Access Denied: You do not have permission to view this directory.' My teammates can see it just fine.",Access Management,Medium,Granted the user 'Viewer' access to the specific SharePoint sub-folder and forced a permission propagation sync.
DNS resolution failing for internal portal,"Every time I try to access the company portal (portal.internal.corp), I get a 'DNS_PROBE_FINISHED_NXDOMAIN' error in Chrome. It works fine if I use the VPN, but not on the local office network.",Network,Medium,Corrected the internal DNS record which had been incorrectly pointed to the external IP during the last server migration.
Permissions issue on /mnt/data,"I cannot access the research share anymore. When I try to browse to the folder, I get an 'Access Denied' error even though I have read/write permissions. This started after the server reboot last night.",Storage,Low,Reset the NFS export permissions and re-synchronized the user UID/GID mapping with the LDAP server.
Antivirus alert on server SRV-04,"I’m losing my mind here—CrowdStrike just triggered an alert for some garbage process running out of the Temp folders on SRV-04, and it’s clearly trying to execute an encoded PowerShell script. I’ve already had to isolate the server from the network just to stop it from moving laterally, because apparently, we can't have a secure environment for five minutes. This needs immediate attention before everything else goes down.",Security,Critical,Identified malicious script as a false positive from a legitimate internal deployment tool and restored service.
NFS mount timeout on production web server,Our web-prod-04 server is failing to mount the /mnt/data storage volume. We are receiving 'RPC: Timed out' errors when attempting to mount the NFS share. This is impacting our ability to serve static assets to customers.,Storage,Critical,Increased the NFS timeout threshold in /etc/fstab and identified a congested network switch port causing packet loss.
DNS resolution failing for internal apps,Some of our internal web apps aren't resolving. nslookup keeps timing out when hitting our internal DNS servers. It seems like the zones aren't replicating between DC1 and DC2.,Infrastructure,Medium,Forced a manual synchronization of the DNS zones between domain controllers and cleared the DNS cache.
Permission denied on file share,"I cannot access the 'Marketing_Archive' folder on the corporate NAS anymore. It says 'Access Denied' whenever I try to open a sub-folder. I have a presentation due in an hour, help!",Storage,High,"Reset ACL permissions for the user group, as an inadvertent change in AD security groups had removed their read access."
